latitude,longitude
30.2269836,-97.85579479
30.26745265,-97.73238756
30.27592727,-97.69893363
30.42166016,-97.78004812
30.28523913,-97.74791382
30.37635767,-97.75392083
30.474704,-97.78322717
30.32576083,-97.71519013
30.25829457,-97.75323992
30.23560649,-97.70290504
30.21325575,-97.88135415
30.35227694,-97.72029126
30.25839263,-97.73904571
30.28329557,-97.74618805
30.26309809,-97.74405836
30.33418934,-97.70226357
30.42930098,-97.66801133
30.19084387,-97.7778612
30.28765954,-97.74969264
30.38851923,-97.67169586
30.253697,-97.76406162
30.46731726,-97.6685824
30.22983661,-97.79117005
30.43341718,-97.84012097
30.13273913,-97.64794257
30.25142463,-97.74865605
30.2733601,-97.74588188
30.39146324,-97.7044849
30.16754379,-97.83036368
30.25495384,-97.71084748
30.27560858,-97.71101861
30.39549251,-97.72181371
30.30150169,-97.76431909
30.26705054,-97.74219605
30.24357439,-97.84151062
30.25395551,-97.76327858
30.29812384,-97.70533766
30.23579438,-97.75549461
30.27158175,-97.74196211
30.16206303,-97.72569655
30.20784321,-97.82996888
30.40520644,-97.85386877
30.15200391,-97.76304291
30.42917244,-97.7038762
30.2893199,-97.74277968
30.26032242,-97.75664613
30.25554709,-97.70673678
30.26169001,-97.72284757
30.2501017,-97.74333896
30.30214748,-97.93092042
30.21270063,-97.70515472
30.25883938,-97.69439483
30.22971762,-97.89156736
30.27179917,-97.75984641
30.47954429,-97.78146476
30.4528775,-97.77272773
30.24334821,-97.84368397
30.17593384,-97.82202831
30.31762191,-97.73812773
30.27951052,-97.7104894
30.27292385,-97.75298271
30.42946588,-97.67162938
30.28415732,-97.76167346
30.32522487,-97.7098555
30.31921135,-97.73893423
30.40492216,-97.71828133
30.33791212,-97.69392643
30.38097801,-97.73214186
30.43352705,-97.69868485
30.33677927,-97.69345587
30.37388015,-97.7991903
30.22398057,-97.84063265
30.30067355,-97.7028186
30.2051916,-97.64196712
30.2133782,-97.71203314
30.21983156,-97.69221456
30.21825671,-97.84414336
30.22207838,-97.83194476
30.35998895,-97.73096578
30.20611403,-97.7216122
30.47649318,-97.80730038
30.2181174,-97.72690969
30.21655922,-97.76746628
30.1715965,-97.74340493
30.12426746,-97.80470214
30.33902209,-97.92698653
30.33070034,-97.6924661
30.27055282,-97.70561876
30.48897447,-97.76122511
30.27059048,-97.75089645
30.2119627,-97.71491479
30.32760551,-97.74955825
30.22163239,-97.69673232
30.28029596,-97.7417464
30.20614472,-97.75911363
30.19818527,-97.76915462
30.26438025,-97.76403079
30.37924244,-97.76480229
30.35255716,-97.75778852
30.22251246,-97.72275964
30.27166354,-97.76166261
30.26019722,-97.72396577
30.26776841,-97.72322074
30.195635,-97.70321725
30.22336186,-97.84359263
30.43232172,-97.72927788
30.24338277,-97.77151885
30.24379674,-97.8843356
30.26254582,-97.72553711
30.29408746,-97.55699131
30.20691719,-97.78252975
30.27652757,-97.74762096
30.29045421,-97.73365983
30.1773473,-97.90578312
30.22556681,-97.8040076
30.19224621,-97.73937263
30.26001065,-97.74003747
30.28960776,-97.74320063
30.39665613,-97.72323289
30.28412243,-97.82696245
30.22972863,-97.77840813
30.19991552,-97.79346711
30.22103132,-97.69688422
30.46160882,-97.79537816
30.37777173,-97.65887551
30.41372859,-97.68829451
30.25242598,-97.68447012
30.47636689,-97.78500607
30.34535014,-97.67447961
30.36547486,-97.70864934
30.21743571,-97.89233113
30.22280888,-97.6872473
30.28194811,-97.70658487
30.30267217,-97.69728331
30.24819818,-97.58553281
30.2792742,-97.72297831
30.25891885,-97.73841139
30.24839065,-97.76939178
30.35956987,-97.71712618
30.35868121,-97.60544522
30.33926505,-97.69857382
30.28623604,-97.67277324
30.4027571,-97.70955404
30.20033516,-97.86384453
30.24339484,-97.78058816
30.23420382,-97.73272683
30.28955407,-97.69835472
30.43164814,-97.6544256
30.32548085,-97.83285178
30.3062255,-97.74251978
30.23209373,-97.75713135
30.40987835,-97.63906568
30.41240989,-97.63433776
30.43687022,-97.7706006
30.19134317,-97.8771723
30.27371472,-97.76045998
30.43985541,-97.76105864
30.26529777,-97.74916676
30.40526164,-97.64454996
30.42806821,-97.74782386
30.32137938,-97.71900952
30.47579536,-97.77321881
30.20359107,-97.80657796
30.42774103,-97.69994174
30.20483002,-97.75779822
30.22716902,-97.70744048
30.24090293,-97.78271793
30.41240989,-97.63433776
30.25872736,-97.75882118
30.15657527,-97.75435412
30.42745582,-97.70082719
